id,unique_name,latitude,longitude
1,Aalen (Stuttgarter Straße),48.835296,10.092956
2,Aéroport Bordeaux-Mérignac,44.830226,-0.700883
3,Aéroport CDG ,49.0099,2.55931
4,Aéroport de Berlin-Schönefeld ,52.389446,13.520345
5,Aéroport de Dresden,51.12360382,13.76473713
6,Aéroport de Genève,46.230121,6.109288
7,Aéroport de Paris Beauvais-Tillé,49.462541,2.116935
8,Aéroport de Prague (bus station),50.1075325,14.26930904
9,Aéroport de Tegel,52.55376,13.29231
10,Aéroport Marco Polo,45.505432,12.338465
11,Aéroport Marco Polo (Arrêt ATVO),45.504946,12.339289
12,Aéroport Saint-Exupéry,45.719094,5.079539
13,Aéroport Schönefeld Terminal B,52.38927841,13.51986694
14,Aéroport Schwechat,48.11967087,16.56298828
15,Aéroport T2,48.356118,11.789859
16,Agen (Exit A62),44.165376,0.606235
17,Ahlbeck train station (Usedom),53.9367,14.189175
18,Ahrenshoop,54.379826,12.41892
19,Aichach (Bäckerei Zametzer),48.462035,11.134387
20,Aire de covoiturage de Kernilien,48.5657041,-3.2060747
21,Aire de Neustadt-Glewe,53.380065,11.62677
22,Albertville (Central bus station),45.672725,6.382503
23,Albstadt-Ebingen (Bus station),48.210265,9.030386
24,aleja Wojska Polskiego,50.8184264,19.1397375
25,Alessandria (Stazione FS),44.908637,8.608076
26,Alexanderplatz,52.523164,13.414503
27,Allmannsdorf,47.682164,9.202497
28,Alpe d'Huez,45.089737,6.075874
29,Alpi Hotel Bolzano,46.49572372,11.35521793
30,Alsfeld Pfefferhöhe,50.732885,9.241158
31,Alsfeld train station,50.750707,9.265129
32,Altenbüren,51.386086,8.506352
33,Altlüdersdorf (B 96),53.037369,13.192189
34,Amberg (Maxplatz),49.448144,11.85398
35,Amstetten,48.121815,14.878154
36,Ancona (Parking Archi),43.610365,13.502943
37,Anklam central bus station,53.855963,13.701285
38,Antwerp (Berchem),51.201255,4.435944
39,Antwerp (Koningin Astridplein),51.218454,4.420759
40,Aosta (Autostazione),45.735249,7.324412
41,Apeldoorn train station,52.209763,5.96718
42,Apen-Remels,53.263037,7.755616
43,Aprilia (Via della stazione),41.591916,12.639595
44,Arad (Bus station),46.190389,21.319017
45,Arezzo (Via Rossellino),43.466076,11.87476
46,Arnsberg train station,51.405015,8.066429
47,Arras,50.286279,2.779515
48,Aschaffenburg (Goldbacher Straße),49.977752,9.14962
49,Aschersleben train station (Bahnhofstraße),51.758059,11.462988
50,Assisi (Piazza San Pietro),43.072237,12.607273
51,Asti (Piazza Medaglie D'Oro),44.895892,8.208986
52,Attnang-Puchheim,48.012714,13.720969
53,Aubagne (Pole Exchange),43.295766,5.565026
54,Augsburg (Augsburg P+R Nord),48.40172,10.877042
55,Autostadt,52.431787,10.796351
56,Autostazione di Udine,46.05716705,13.24285412
57,Avenue Charles Floquet,43.47701,-1.552219
58,Avenue de la Butte,43.295487,3.517419
59,Avenue de la Méditerranée,43.318177,3.547052
60,Avenue de Lattre de Tassigny,45.653846,0.167294
61,Avenue du Campon,43.570898,7.014582
62,Avenue du Maréchal Foch,47.246911,6.022417
63,Avenue Georges Pompidou,47.896911,1.854277
64,Avenue Henry Mouret,43.522984,5.436625
65,Baabe (Rügen),54.36314,13.705249
66,Bad Arolsen,51.381521,8.998134
67,Bad Bentheim train station,52.309682,7.158971
68,Bad Doberan central bus station,54.108804,11.906367
69,Bad Harzburg train station (Herzog-Julius-Straße),51.88712,10.55641
70,Bad Hersfeld train station,50.868557,9.715058
71,Bad Oeynhausen central bus station,52.205381,8.79963
72,Bad Saulgau (Festplatz),48.020413,9.504685
73,Bad Segeberg central bus station,53.934446,10.309166
74,Bad Urach (bus station),48.491022,9.397885
75,Bad Zwesten (Brunnenstraße),51.051932,9.175395
